Word,Rank,Raw Frequency,Raw Range, Normalized Frequency, Normalized Range
literal,8952,2,2,2.94,0.01
allegorical,8952,2,1,2.94,0.0
anagogic,8952,2,1,2.94,0.0
figurative,8952,2,1,2.94,0.0
bloomfield,8952,2,1,2.94,0.0
lille,8952,2,1,2.94,0.0
gillian,8952,2,1,2.94,0.0
compiler,8952,2,2,2.94,0.01
instances,8952,2,2,2.94,0.01
hughes,8952,2,1,2.94,0.0
13th,8952,2,2,2.94,0.01
philological,8952,2,2,2.94,0.01
transcript,8952,2,2,2.94,0.01
superiors,8952,2,2,2.94,0.01
dictatorship,8952,2,2,2.94,0.01
alec,8952,2,2,2.94,0.01
repressions,8952,2,1,2.94,0.0
courtois,8952,2,1,2.94,0.0
panne,8952,2,1,2.94,0.0
pachkovsky,8952,2,1,2.94,0.0
bartoshek,8952,2,1,2.94,0.0
louis,8952,2,2,2.94,0.01
cocktail,8952,2,2,2.94,0.01
pictorial,8952,2,2,2.94,0.01
poberezhskiy,8952,2,1,2.94,0.0
morzo,8952,2,1,2.94,0.0
certeau,8952,2,2,2.94,0.01
volkov,8952,2,2,2.94,0.01
submission,8952,2,2,2.94,0.01
canons,8952,2,2,2.94,0.01
compromising,8952,2,2,2.94,0.01
foreigners,8952,2,2,2.94,0.01
athenaeus,8952,2,1,2.94,0.0
122,8952,2,2,2.94,0.01
ingredients,8952,2,2,2.94,0.01
annales,8952,2,2,2.94,0.01
uncovering,8952,2,2,2.94,0.01
sens,8952,2,2,2.94,0.01
grain,8952,2,2,2.94,0.01
crops,8952,2,2,2.94,0.01
graeco,8952,2,1,2.94,0.0
purcell,8952,2,1,2.94,0.0
symbolism,8952,2,2,2.94,0.01
defection,8952,2,2,2.94,0.01
lissarrague,8952,2,1,2.94,0.0
athenian,8952,2,2,2.94,0.01
millennia,8952,2,2,2.94,0.01
diversified,8952,2,2,2.94,0.01
neighbouring,8952,2,1,2.94,0.0
mycenaean,8952,2,2,2.94,0.01
elucidation,8952,2,2,2.94,0.01
contrasts,8952,2,2,2.94,0.01
reenactment,8952,2,2,2.94,0.01
mediterranean,8952,2,2,2.94,0.01
triad,8952,2,2,2.94,0.01
olive,8952,2,2,2.94,0.01
legitimizing,8952,2,1,2.94,0.0
entourage,8952,2,1,2.94,0.0
satrapies,8952,2,1,2.94,0.0
rinetsiem,8952,2,1,2.94,0.0
xvi,8952,2,2,2.94,0.01
pontic,8952,2,1,2.94,0.0
cumont,8952,2,1,2.94,0.0
gregoire,8952,2,1,2.94,0.0
rostovtseff,8952,2,1,2.94,0.0
1951,8952,2,2,2.94,0.01
132,8952,2,2,2.94,0.01
welcomed,8952,2,2,2.94,0.01
coincidence,8952,2,2,2.94,0.01
beginnings,8952,2,2,2.94,0.01
persian,8952,2,1,2.94,0.0
nobility,8952,2,2,2.94,0.01
nickname,8952,2,1,2.94,0.0
son,8952,2,2,2.94,0.01
zeus,8952,2,2,2.94,0.01
troubles,8952,2,2,2.94,0.01
madness,8952,2,1,2.94,0.0
sinop,8952,2,1,2.94,0.0
cyrus,8952,2,2,2.94,0.01
darius,8952,2,1,2.94,0.0
69,8952,2,2,2.94,0.01
untied,8952,2,2,2.94,0.01
honesty,8952,2,2,2.94,0.01
dressed,8952,2,2,2.94,0.01
appoints,8952,2,2,2.94,0.01
emperor,8952,2,2,2.94,0.01
streamline,8952,2,2,2.94,0.01
obey,8952,2,2,2.94,0.01
veterans,8952,2,2,2.94,0.01
indicative,8952,2,2,2.94,0.01
fortresses,8952,2,2,2.94,0.01
penetration,8952,2,2,2.94,0.01
killed,8952,2,2,2.94,0.01
worship,8952,2,2,2.94,0.01
fluctuated,8952,2,2,2.94,0.01
wear,8952,2,2,2.94,0.01
painters,8952,2,1,2.94,0.0
vessel,8952,2,2,2.94,0.01
ceramic,8952,2,1,2.94,0.0
llewellyn,8952,2,1,2.94,0.0
jane,8952,2,2,2.94,0.01
1886,8952,2,2,2.94,0.01
robertson,8952,2,2,2.94,0.01
dodds,8952,2,2,2.94,0.01
painted,8952,2,1,2.94,0.0
archaeologist,8952,2,2,2.94,0.01
irreversible,8952,2,2,2.94,0.01
hedreen,8952,2,1,2.94,0.0
maenads,8952,2,1,2.94,0.0
gorgoneion,8952,2,1,2.94,0.0
athena,8952,2,2,2.94,0.01
epigraphic,8952,2,2,2.94,0.01
streamlining,8952,2,2,2.94,0.01
giovanni,8952,2,2,2.94,0.01
davidson,8952,2,2,2.94,0.01
beazley,8952,2,1,2.94,0.0
sacral,8952,2,2,2.94,0.01
deities,8952,2,2,2.94,0.01
procession,8952,2,2,2.94,0.01
souls,8952,2,2,2.94,0.01
dying,8952,2,2,2.94,0.01
veneration,8952,2,1,2.94,0.0
memorials,8952,2,2,2.94,0.01
facets,8952,2,2,2.94,0.01
chiefly,8952,2,2,2.94,0.01
lacked,8952,2,2,2.94,0.01
guilds,8952,2,2,2.94,0.01
ovid,8952,2,2,2.94,0.01
martial,8952,2,2,2.94,0.01
aeneid,8952,2,1,2.94,0.0
travelling,8952,2,2,2.94,0.01
ceremonial,8952,2,1,2.94,0.0
funerals,8952,2,1,2.94,0.0
kitchens,8952,2,2,2.94,0.01
grave,8952,2,2,2.94,0.01
welcome,8952,2,2,2.94,0.01
hegemony,8952,2,2,2.94,0.01
necropolis,8952,2,1,2.94,0.0
disposing,8952,2,2,2.94,0.01
skeletal,8952,2,2,2.94,0.01
sacrifice,8952,2,2,2.94,0.01
displaced,8952,2,2,2.94,0.01
coexisted,8952,2,2,2.94,0.01
zorin,8952,2,1,2.94,0.0
fireman,8952,2,1,2.94,0.0
adopts,8952,2,2,2.94,0.01
vsevolod,8952,2,1,2.94,0.0
juri,8952,2,2,2.94,0.01
zhukov,8952,2,2,2.94,0.01
vasily,8952,2,2,2.94,0.01
tsvetkov,8952,2,2,2.94,0.01
gorky,8952,2,2,2.94,0.01
archivist,8952,2,1,2.94,0.0
underwent,8952,2,2,2.94,0.01
confess,8952,2,2,2.94,0.01
andrei,8952,2,2,2.94,0.01
reporters,8952,2,2,2.94,0.01
abiding,8952,2,2,2.94,0.01
freelance,8952,2,2,2.94,0.01
interpreters,8952,2,2,2.94,0.01
hobbies,8952,2,2,2.94,0.01
rotkirh,8952,2,2,2.94,0.01
manners,8952,2,2,2.94,0.01
giddens,8952,2,1,2.94,0.0
plastic,8952,2,2,2.94,0.01
emancipation,8952,2,2,2.94,0.01
prohibiting,8952,2,1,2.94,0.0
adolescent,8952,2,2,2.94,0.01
fictions,8952,2,2,2.94,0.01
hurt,8952,2,2,2.94,0.01
capitalist,8952,2,2,2.94,0.01
predecessors,8952,2,2,2.94,0.01
1867,8952,2,2,2.94,0.01
austria,8952,2,2,2.94,0.01
exported,8952,2,1,2.94,0.0
designation,8952,2,2,2.94,0.01
bologna,8952,2,1,2.94,0.0
proud,8952,2,2,2.94,0.01
protestant,8952,2,2,2.94,0.01
civilizational,8952,2,1,2.94,0.0
recruited,8952,2,2,2.94,0.01
1929,8952,2,2,2.94,0.01
conomique,8952,2,2,2.94,0.01
methodologist,8952,2,1,2.94,0.0
framing,8952,2,2,2.94,0.01
traverse,8952,2,2,2.94,0.01
acquirement,8952,2,2,2.94,0.01
everybody,8952,2,2,2.94,0.01
commissioner,8952,2,2,2.94,0.01
les,8952,2,2,2.94,0.01
golden,8952,2,2,2.94,0.01
prescientific,8952,2,1,2.94,0.0
pseudoscientific,8952,2,1,2.94,0.0
extrascientific,8952,2,1,2.94,0.0
henri,8952,2,2,2.94,0.01
bergson,8952,2,1,2.94,0.0
abraham,8952,2,1,2.94,0.0
warburg,8952,2,1,2.94,0.0
hatton,8952,2,1,2.94,0.0
rostovtsev,8952,2,1,2.94,0.0
berdyaev,8952,2,2,2.94,0.01
plasticity,8952,2,2,2.94,0.01
254,8952,2,1,2.94,0.0
treats,8952,2,2,2.94,0.01
1925,8952,2,2,2.94,0.01
collectives,8952,2,2,2.94,0.01
intertwined,8952,2,2,2.94,0.01
abandoning,8952,2,2,2.94,0.01
eternal,8952,2,2,2.94,0.01
predominantly,8952,2,2,2.94,0.01
jan,8952,2,2,2.94,0.01
subdivided,8952,2,2,2.94,0.01
repeating,8952,2,2,2.94,0.01
medushevskaya,8952,2,1,2.94,0.0
chrysostom,8952,2,1,2.94,0.0
founding,8952,2,1,2.94,0.0
deeds,8952,2,2,2.94,0.01
seventh,8952,2,2,2.94,0.01
abbatial,8952,2,1,2.94,0.0
gallic,8952,2,1,2.94,0.0
Í‡Ò‡‚ËÌ,8952,2,1,2.94,0.0
ÔÂÂËÁ‰,8952,2,1,2.94,0.0
kin,8952,2,2,2.94,0.01
fouracre,8952,2,1,2.94,0.0
epistles,8952,2,1,2.94,0.0
hadrill,8952,2,1,2.94,0.0
skillfully,8952,2,2,2.94,0.01
layman,8952,2,2,2.94,0.01
transposed,8952,2,1,2.94,0.0
patrons,8952,2,1,2.94,0.0
prosopographic,8952,2,2,2.94,0.01
clan,8952,2,2,2.94,0.01
inclination,8952,2,2,2.94,0.01
epoch,8952,2,2,2.94,0.01
surveyed,8952,2,2,2.94,0.01
monastery,8952,2,1,2.94,0.0
disregarded,8952,2,2,2.94,0.01
episcopal,8952,2,2,2.94,0.01
fortificational,8952,2,1,2.94,0.0
iron,8952,2,2,2.94,0.01
systemize,8952,2,2,2.94,0.01
geomorpholic,8952,2,1,2.94,0.0
linquistic,8952,2,1,2.94,0.0
tiered,8952,2,1,2.94,0.0
shafts,8952,2,1,2.94,0.0
sixteenth,8952,2,2,2.94,0.01
craft,8952,2,2,2.94,0.01
torzhok,8952,2,1,2.94,0.0
belozerye,8952,2,1,2.94,0.0
pskov,8952,2,1,2.94,0.0
island,8952,2,2,2.94,0.01
interferes,8952,2,2,2.94,0.01
ramparts,8952,2,1,2.94,0.0
imitative,8952,2,1,2.94,0.0
builders,8952,2,2,2.94,0.01
attack,8952,2,2,2.94,0.01
attacking,8952,2,2,2.94,0.01
storm,8952,2,2,2.94,0.01
cabinet,8952,2,2,2.94,0.01
‚êúunderstanding‚êù,8952,2,2,2.94,0.01
mikulenok,8952,2,1,2.94,0.0
substantiates,8952,2,2,2.94,0.01
medvedkov,8952,2,1,2.94,0.0
incales,8952,2,1,2.94,0.0
sosnovy,8952,2,1,2.94,0.0
eaton,8952,2,2,2.94,0.01
conform,8952,2,2,2.94,0.01
shortages,8952,2,2,2.94,0.01
congress,8952,2,2,2.94,0.01
nikita,8952,2,1,2.94,0.0
lavrentiy,8952,2,1,2.94,0.0
beria,8952,2,2,2.94,0.01
arrested,8952,2,2,2.94,0.01
zubkova,8952,2,2,2.94,0.01
fatherlessness,8952,2,2,2.94,0.01
macrolevel,8952,2,1,2.94,0.0
reacted,8952,2,2,2.94,0.01
directives,8952,2,2,2.94,0.01
misuse,8952,2,2,2.94,0.01
veselova,8952,2,1,2.94,0.0
carnival,8952,2,1,2.94,0.0
latvian,8952,2,2,2.94,0.01
itemize,8952,2,2,2.94,0.01
∏Ò,8952,2,2,2.94,0.01
µÒ,8952,2,2,2.94,0.01
æ∏,8952,2,2,2.94,0.01
∏Òü,8952,2,2,2.94,0.01
dzerzhinsky,8952,2,1,2.94,0.0
motovilikhinsky,8952,2,1,2.94,0.0
apprenticeship,8952,2,2,2.94,0.01
educate,8952,2,2,2.94,0.01
june,8952,2,2,2.94,0.01
lukman,8952,2,2,2.94,0.01
dualistic,8952,2,2,2.94,0.01
fun,8952,2,2,2.94,0.01
demonstrations,8952,2,2,2.94,0.01
ö,8952,2,2,2.94,0.01
∏≥ÒÉ,8952,2,1,2.94,0.0
ÒúÒÉ∫∏,8952,2,1,2.94,0.0
sch„ºtz,8952,2,1,2.94,0.0
dwells,8952,2,2,2.94,0.01
bolshevik,8952,2,2,2.94,0.01
kenez,8952,2,2,2.94,0.01
amir,8952,2,2,2.94,0.01
world‚,8952,2,2,2.94,0.01
‚êúeveryday,8952,2,2,2.94,0.01
loved,8952,2,2,2.94,0.01
û,8952,2,2,2.94,0.01
acquaintance,8952,2,2,2.94,0.01
gastronomy,8952,2,1,2.94,0.0
kozlova,8952,2,2,2.94,0.01
drunkenness,8952,2,2,2.94,0.01
conceptually,8952,2,2,2.94,0.01
life‚êù,8952,2,2,2.94,0.01
people‚êù,8952,2,2,2.94,0.01
kotkin,8952,2,1,2.94,0.0
‚êúsoviet,8952,2,2,2.94,0.01
persecution,8952,2,2,2.94,0.01
teun,8952,2,1,2.94,0.0
national‚,8952,2,1,2.94,0.0
spaniards,8952,2,1,2.94,0.0
borop,8952,2,1,2.94,0.0
tracked,8952,2,2,2.94,0.01
1888,8952,2,2,2.94,0.01
inventing,8952,2,1,2.94,0.0
invented‚,8952,2,2,2.94,0.01
jorn,8952,2,2,2.94,0.01
borup,8952,2,1,2.94,0.0
ruperto,8952,2,1,2.94,0.0
nola,8952,2,2,2.94,0.01
taste‚,8952,2,2,2.94,0.01
cuisines,8952,2,1,2.94,0.0
pardo,8952,2,1,2.94,0.0
lara,8952,2,2,2.94,0.01
herrera,8952,2,1,2.94,0.0
preserve,8952,2,2,2.94,0.01
unequivocally,8952,2,2,2.94,0.01
intel,8952,2,2,2.94,0.01
century‚,8952,2,2,2.94,0.01
influents,8952,2,2,2.94,0.01
sociocultural,8952,2,2,2.94,0.01
pushkareva,8952,2,2,2.94,0.01
barbara,8952,2,2,2.94,0.01
instilled,8952,2,2,2.94,0.01
sister,8952,2,2,2.94,0.01
wears,8952,2,2,2.94,0.01
drain,8952,2,1,2.94,0.0
ideologist,8952,2,2,2.94,0.01
formations,8952,2,2,2.94,0.01
alexey,8952,2,2,2.94,0.01
mundane,8952,2,2,2.94,0.01
bye,8952,2,2,2.94,0.01
respects,8952,2,2,2.94,0.01
accessory,8952,2,2,2.94,0.01
reminiscence,8952,2,2,2.94,0.01
124,8952,2,2,2.94,0.01
refracted,8952,2,2,2.94,0.01
semiology,8952,2,1,2.94,0.0
family‚ê,8952,2,2,2.94,0.01
‚êústrategies‚êù,8952,2,1,2.94,0.0
‚êútactics‚êù,8952,2,1,2.94,0.0
complemented,8952,2,2,2.94,0.01
cpsu,8952,2,1,2.94,0.0
bowen,8952,2,2,2.94,0.01
hosking,8952,2,1,2.94,0.0
‚êúdistrust‚êù,8952,2,1,2.94,0.0
distrust,8952,2,2,2.94,0.01
stalin‚ê,8952,2,2,2.94,0.01
raleigh,8952,2,2,2.94,0.01
individualize,8952,2,2,2.94,0.01
dating,8952,2,2,2.94,0.01
listen,8952,2,2,2.94,0.01
flourished,8952,2,2,2.94,0.01
‚êúemancipation‚êù,8952,2,1,2.94,0.0
edele,8952,2,1,2.94,0.0
crocodile,8952,2,1,2.94,0.0
jargon,8952,2,2,2.94,0.01
reminded,8952,2,2,2.94,0.01
ring,8952,2,2,2.94,0.01
wasn‚ê,8952,2,2,2.94,0.01
preoccupation,8952,2,2,2.94,0.01
gorski,8952,2,2,2.94,0.01
dissent,8952,2,1,2.94,0.0
essay,8952,2,2,2.94,0.01
baby,8952,2,2,2.94,0.01
stites,8952,2,2,2.94,0.01
poster,8952,2,2,2.94,0.01
thumwald,8952,2,1,2.94,0.0
turmoil,8952,2,1,2.94,0.0
distinguishable,8952,2,2,2.94,0.01
blaak,8952,2,1,2.94,0.0
solovyov,8952,2,2,2.94,0.01
hobby,8952,2,2,2.94,0.01
anarchy,8952,2,2,2.94,0.01
habituses,8952,2,2,2.94,0.01
‚êúwho,8952,2,2,2.94,0.01
eusebius,8952,2,1,2.94,0.0
caesarea,8952,2,1,2.94,0.0
philosopher‚ê,8952,2,1,2.94,0.0
community‚êù,8952,2,2,2.94,0.01
platonism‚êù,8952,2,1,2.94,0.0
consciousnesses,8952,2,1,2.94,0.0
paganism,8952,2,1,2.94,0.0
pantheon,8952,2,2,2.94,0.01
sinesius,8952,2,1,2.94,0.0
plotinus‚êù,8952,2,1,2.94,0.0
isidore‚êù,8952,2,1,2.94,0.0
damascus,8952,2,1,2.94,0.0
scholastic,8952,2,1,2.94,0.0
gentiles‚êù,8952,2,1,2.94,0.0
pavel,8952,2,2,2.94,0.01
eunapius,8952,2,1,2.94,0.0
theology,8952,2,2,2.94,0.01
svetlov,8952,2,2,2.94,0.01
‚êúlife,8952,2,1,2.94,0.0
edward,8952,2,2,2.94,0.01
watts,8952,2,2,2.94,0.01
antiquity‚êù,8952,2,1,2.94,0.0
tatakis,8952,2,1,2.94,0.0
porfiry,8952,2,1,2.94,0.0
sects,8952,2,2,2.94,0.01
ignorant,8952,2,1,2.94,0.0
deceiving,8952,2,2,2.94,0.01
indignation,8952,2,1,2.94,0.0
killing,8952,2,2,2.94,0.01
closing,8952,2,2,2.94,0.01
outsider,8952,2,2,2.94,0.01
veblen,8952,2,1,2.94,0.0
streamlines,8952,2,2,2.94,0.01
crossed,8952,2,2,2.94,0.01
peasantry,8952,2,1,2.94,0.0
1922,8952,2,2,2.94,0.01
glebkin,8952,2,1,2.94,0.0
recreating,8952,2,2,2.94,0.01
festival,8952,2,2,2.94,0.01
doesn‚ê,8952,2,2,2.94,0.01
organising,8952,2,2,2.94,0.01
rcp,8952,2,1,2.94,0.0
1919,8952,2,1,2.94,0.0
illiteracy,8952,2,2,2.94,0.01
øit,8952,2,2,2.94,0.01
installations,8952,2,2,2.94,0.01
ideologically,8952,2,2,2.94,0.01
andrea,8952,2,2,2.94,0.01
cobley,8952,2,1,2.94,0.0
tompkins,8952,2,1,2.94,0.0
categorizing,8952,2,2,2.94,0.01
peripheral,8952,2,2,2.94,0.01
ukrainians,8952,2,1,2.94,0.0
benedict,8952,2,1,2.94,0.0
1875,8952,2,2,2.94,0.01
supplying,8952,2,2,2.94,0.01
fedor,8952,2,2,2.94,0.01
1944,8952,2,2,2.94,0.01
dilapidated,8952,2,1,2.94,0.0
neighborhoods,8952,2,1,2.94,0.0
hydroelectric,8952,2,1,2.94,0.0
atypical,8952,2,2,2.94,0.01
korenyuk,8952,2,1,2.94,0.0
chores,8952,2,1,2.94,0.0
warm,8952,2,2,2.94,0.01
homelessness,8952,2,1,2.94,0.0
detained,8952,2,2,2.94,0.01
sorokin,8952,2,2,2.94,0.01
suffrage,8952,2,1,2.94,0.0
bourgeois,8952,2,2,2.94,0.01
chronology,8952,2,2,2.94,0.01
playwright,8952,2,1,2.94,0.0
monographic,8952,2,2,2.94,0.01
aggravation,8952,2,2,2.94,0.01
adjoining,8952,2,2,2.94,0.01
friedrich,8952,2,2,2.94,0.01
schleiermacher,8952,2,1,2.94,0.0
rhetorical,8952,2,2,2.94,0.01
victorian,8952,2,2,2.94,0.01
torn,8952,2,2,2.94,0.01
conjugal,8952,2,2,2.94,0.01
concessions,8952,2,2,2.94,0.01
secured,8952,2,2,2.94,0.01
tensions,8952,2,2,2.94,0.01
drafts,8952,2,2,2.94,0.01
sharapov,8952,2,1,2.94,0.0
explorers,8952,2,2,2.94,0.01
hardships,8952,2,1,2.94,0.0
dmitriev,8952,2,2,2.94,0.01
pleasant,8952,2,2,2.94,0.01
djilas,8952,2,1,2.94,0.0
parasitic,8952,2,1,2.94,0.0
communists,8952,2,2,2.94,0.01
antireligious,8952,2,1,2.94,0.0
phased,8952,2,2,2.94,0.01
pospelovsky,8952,2,1,2.94,0.0
churches,8952,2,2,2.94,0.01
weakening,8952,2,2,2.94,0.01
shkarovsky,8952,2,1,2.94,0.0
certificates,8952,2,2,2.94,0.01
ministers,8952,2,2,2.94,0.01
unintended,8952,2,2,2.94,0.01
496,8952,2,2,2.94,0.01
agricultures,8952,2,2,2.94,0.01
ligachev,8952,2,1,2.94,0.0
rizhkov,8952,2,1,2.94,0.0
minded,8952,2,2,2.94,0.01
authorizes,8952,2,2,2.94,0.01
etacratic,8952,2,1,2.94,0.0
unmarried,8952,2,1,2.94,0.0
maid,8952,2,2,2.94,0.01
personalization,8952,2,2,2.94,0.01
courtship,8952,2,1,2.94,0.0
justifying,8952,2,2,2.94,0.01
prisms,8952,2,1,2.94,0.0
129,8952,2,1,2.94,0.0
mythologization,8952,2,2,2.94,0.01
blurring,8952,2,1,2.94,0.0
interviewees,8952,2,1,2.94,0.0
tuned,8952,2,2,2.94,0.01
futility,8952,2,1,2.94,0.0
blur,8952,2,2,2.94,0.01
believing,8952,2,1,2.94,0.0
smirnov,8952,2,2,2.94,0.01
lappo,8952,2,2,2.94,0.01
danilevsky,8952,2,1,2.94,0.0
individualizing,8952,2,2,2.94,0.01
triangulation,8952,2,1,2.94,0.0
illuminating,8952,2,2,2.94,0.01
ethnology,8952,2,1,2.94,0.0
poetics,8952,2,1,2.94,0.0
pritchard,8952,2,1,2.94,0.0
karleyl,8952,2,1,2.94,0.0
psychoanalysis,8952,2,2,2.94,0.01
tales,8952,2,2,2.94,0.01
kicking,8952,2,1,2.94,0.0
lumps,8952,2,1,2.94,0.0
golovchanskii,8952,2,1,2.94,0.0
shushakova,8952,2,1,2.94,0.0
koshaev,8952,2,1,2.94,0.0
creations,8952,2,2,2.94,0.01
ozhegova,8952,2,1,2.94,0.0
perya,8952,2,1,2.94,0.0
pahorukova,8952,2,1,2.94,0.0
breaks,8952,2,2,2.94,0.01
weed,8952,2,1,2.94,0.0
epithet,8952,2,1,2.94,0.0
missionaries,8952,2,1,2.94,0.0
legend,8952,2,2,2.94,0.01
despised,8952,2,1,2.94,0.0
perfunctory,8952,2,1,2.94,0.0
entertain,8952,2,2,2.94,0.01
unofficial,8952,2,2,2.94,0.01
changeable,8952,2,2,2.94,0.01
jennifer,8952,2,2,2.94,0.01
activism,8952,2,2,2.94,0.01
kawamura,8952,2,1,2.94,0.0
minato,8952,2,2,2.94,0.01
connotations,8952,2,2,2.94,0.01
koryo,8952,2,1,2.94,0.0
annals,8952,2,1,2.94,0.0
tale,8952,2,2,2.94,0.01
xiv,8952,2,2,2.94,0.01
fragment,8952,2,2,2.94,0.01
equaled,8952,2,1,2.94,0.0
perry,8952,2,1,2.94,0.0
mayer,8952,2,2,2.94,0.01
schaller,8952,2,2,2.94,0.01
161,8952,2,2,2.94,0.01
devotion,8952,2,2,2.94,0.01
reflections,8952,2,2,2.94,0.01
niels,8952,2,2,2.94,0.01
228,8952,2,2,2.94,0.01
await,8952,2,2,2.94,0.01
integrator,8952,2,2,2.94,0.01
defender,8952,2,2,2.94,0.01
essentiality,8952,2,2,2.94,0.01
tengizova,8952,2,1,2.94,0.0
sessions,8952,2,2,2.94,0.01
litigator,8952,2,1,2.94,0.0
nonaccountability,8952,2,1,2.94,0.0
adversariness,8952,2,1,2.94,0.0
principals,8952,2,2,2.94,0.01
guaranteed,8952,2,2,2.94,0.01
necessities,8952,2,2,2.94,0.01
magistrates,8952,2,2,2.94,0.01
incompetent,8952,2,2,2.94,0.01
strata,8952,2,2,2.94,0.01
41,8952,2,2,2.94,0.01
struggles,8952,2,2,2.94,0.01
inducement,8952,2,2,2.94,0.01
ilan,8952,2,2,2.94,0.01
alon,8952,2,2,2.94,0.01
moshe,8952,2,1,2.94,0.0
banai,8952,2,1,2.94,0.0
herrfeld,8952,2,1,2.94,0.0
ustyuzhanin,8952,2,1,2.94,0.0
licence,8952,2,2,2.94,0.01
orderly,8952,2,2,2.94,0.01
entrepreneurships,8952,2,2,2.94,0.01
mirax,8952,2,1,2.94,0.0
swiss,8952,2,2,2.94,0.01
wise,8952,2,2,2.94,0.01
administered,8952,2,2,2.94,0.01
judged,8952,2,2,2.94,0.01
concursus,8952,2,1,2.94,0.0
posers,8952,2,1,2.94,0.0
shash,8952,2,1,2.94,0.0
productiveness,8952,2,2,2.94,0.01
compound,8952,2,2,2.94,0.01
predictability,8952,2,2,2.94,0.01
recurrence,8952,2,2,2.94,0.01
wayne,8952,2,1,2.94,0.0
mistaken,8952,2,2,2.94,0.01
derrig,8952,2,1,2.94,0.0
deliberately,8952,2,2,2.94,0.01
qualify,8952,2,2,2.94,0.01
avtandilova,8952,2,1,2.94,0.0
swindle,8952,2,1,2.94,0.0
persuade,8952,2,2,2.94,0.01
perpetrator,8952,2,2,2.94,0.01
habitual,8952,2,2,2.94,0.01
91,8952,2,2,2.94,0.01
encumbrances,8952,2,2,2.94,0.01
annulment,8952,2,1,2.94,0.0
invalidation,8952,2,2,2.94,0.01
oblige,8952,2,2,2.94,0.01
avoidable,8952,2,2,2.94,0.01
invalidate,8952,2,2,2.94,0.01
lieu,8952,2,2,2.94,0.01
descry,8952,2,2,2.94,0.01
depict,8952,2,2,2.94,0.01
criminologists,8952,2,1,2.94,0.0
individuals‚ê,8952,2,2,2.94,0.01
juvenile,8952,2,1,2.94,0.0
schizophrenia,8952,2,1,2.94,0.0
pathological,8952,2,2,2.94,0.01
injuries,8952,2,2,2.94,0.01
psychogenic,8952,2,2,2.94,0.01
beating,8952,2,2,2.94,0.01
adulthood,8952,2,2,2.94,0.01
illness,8952,2,2,2.94,0.01
syndrome,8952,2,2,2.94,0.01
psychopathology,8952,2,2,2.94,0.01
examinations,8952,2,1,2.94,0.0
eliciting,8952,2,2,2.94,0.01
adduced,8952,2,2,2.94,0.01
assurance,8952,2,2,2.94,0.01
objections,8952,2,2,2.94,0.01
safeguards,8952,2,2,2.94,0.01
bibliography,8952,2,2,2.94,0.01
reimbursed,8952,2,1,2.94,0.0
tarver,8952,2,1,2.94,0.0
kamzin,8952,2,1,2.94,0.0
insure,8952,2,2,2.94,0.01
bertrams,8952,2,1,2.94,0.0
bob,8952,2,2,2.94,0.01
zider,8952,2,1,2.94,0.0
angel,8952,2,2,2.94,0.01
virgin,8952,2,2,2.94,0.01
failsafe,8952,2,2,2.94,0.01
corporative,8952,2,2,2.94,0.01
fifthly,8952,2,2,2.94,0.01
subscription,8952,2,2,2.94,0.01
gutterman,8952,2,1,2.94,0.0
batalov,8952,2,1,2.94,0.0
accompanies,8952,2,2,2.94,0.01
øat,8952,2,2,2.94,0.01
employers‚ê,8952,2,2,2.94,0.01
november,8952,2,2,2.94,0.01
01,8952,2,2,2.94,0.01
ÒÉ,8952,2,2,2.94,0.01
ÒÉæÒÉÒ,8952,2,2,2.94,0.01
æµ≥Ò,8952,2,1,2.94,0.0
ææ,8952,2,2,2.94,0.01
payable,8952,2,2,2.94,0.01
1998‚,8952,2,2,2.94,0.01
refuses,8952,2,2,2.94,0.01
batyagina,8952,2,2,2.94,0.01
prudnikova,8952,2,1,2.94,0.0
¢,8952,2,2,2.94,0.01
inspections,8952,2,2,2.94,0.01
144,8952,2,2,2.94,0.01
∏∏,8952,2,2,2.94,0.01
subdivisions,8952,2,2,2.94,0.01
acquittal,8952,2,1,2.94,0.0
homeland,8952,2,2,2.94,0.01
soloviev,8952,2,2,2.94,0.01
lifted,8952,2,2,2.94,0.01
rarity,8952,2,2,2.94,0.01
haynes,8952,2,1,2.94,0.0
delegated,8952,2,2,2.94,0.01
deputy,8952,2,2,2.94,0.01
editions,8952,2,2,2.94,0.01
constitutes,8952,2,2,2.94,0.01
newcombe,8952,2,1,2.94,0.0
‚êúthis,8952,2,2,2.94,0.01
authors‚ê,8952,2,2,2.94,0.01
creditor‚ê,8952,2,2,2.94,0.01
safeguarded,8952,2,1,2.94,0.0
insists,8952,2,2,2.94,0.01
poles,8952,2,2,2.94,0.01
conformation,8952,2,2,2.94,0.01
kostina,8952,2,1,2.94,0.0
federation‚êù,8952,2,2,2.94,0.01
civilized,8952,2,2,2.94,0.01
formalities,8952,2,1,2.94,0.0
revises,8952,2,2,2.94,0.01
saraev,8952,2,1,2.94,0.0
controllability,8952,2,2,2.94,0.01
hired,8952,2,2,2.94,0.01
massif,8952,2,2,2.94,0.01
signing,8952,2,2,2.94,0.01
indisputable,8952,2,2,2.94,0.01
sukhanov,8952,2,2,2.94,0.01
zvezdina,8952,2,1,2.94,0.0
bogdanov,8952,2,2,2.94,0.01
zinchenko,8952,2,1,2.94,0.0
study‚ê,8952,2,1,2.94,0.0
